cluster,lat,lon,dist_to_parking
160,37.4832243,126.9025549,1674.7426165186844
161,37.5386394,126.9492428,829.0902371162548
162,37.5194497,126.88218830000001,914.6111501347997
163,37.55947200952381,126.9552494,1019.6774561104984
164,37.62058,126.91102,2081.754661139366
165,37.4725141,127.0987522,35.242804356825516
166,37.4837938,126.9480277,105.3211347168494
167,37.53644,126.89902,1416.295788243522
168,37.4647545,127.01886659999998,1573.4791823795235
169,37.4753027,127.04673650000001,724.9494139970922
170,37.55879411666667,126.8458114,851.8036570892747
171,37.4708898,127.1033677,480.109285486081
172,37.48445,127.09838,0.0
173,37.6122812,126.9082658,2301.7834223579725
174,37.53387,127.11093999999999,2076.5331198052513
175,37.52872,126.90411,2043.4970133160757
176,37.54107715,126.83135076666667,790.0739789364601
177,37.5536991,126.93998940000002,236.88700605655708
178,37.5437014,126.9188463,826.3387004693442
179,37.5418285,126.89021399999999,1695.261085443778
180,37.4978065,127.0524018,764.9632959295849
181,37.52915,126.89894,2082.7889964953165
182,37.4766058,127.04507429999998,536.5080749770045
183,37.4829716,126.9507906,134.16417085955848
184,37.52783796666667,126.91685168333333,2234.205078459328
185,37.5184928,127.10307790000002,518.2541453982867
186,37.5346241,126.90654870000002,1361.4962134612256
187,37.54341,126.96037,610.4854272960465
188,37.6289,127.0567,0.0
189,37.5119121,127.0262175,186.1081939767589
190,37.54655,126.96675000000002,462.104247839227
191,37.55661,126.97177,1305.5821757323008
192,37.5505624,126.9525116,0.0
193,37.6421169,126.9354305,2899.7778525410604
194,37.512170000000005,126.89799000000001,1370.2235012833387
195,37.6160647,126.9339579,0.0
196,37.4756078,127.0449883,641.482985177539
197,37.4754801,127.0355441,791.0189531143824
198,37.51147108181818,127.10267990000001,607.8219938091471
199,37.6162,127.05085999999999,1247.514064289535
200,37.5363326,126.95602259999998,301.6973731301676
201,37.53511,126.94593,1167.2982590659321
202,37.56088,126.96923,905.0659161266755
203,37.4977096,127.1173994,852.6004257382818
204,37.5488,126.96668,612.2570343192656
205,37.53822,127.0074,892.1183404092184
206,37.55234,126.96595,645.5511232281253
207,37.5623,126.97037,748.8944921281085
208,37.5036079,127.080357,301.6981059820371
209,37.5176886,127.0278501,362.7585659540105
210,37.5122995,127.0218021,99.74574612101755
211,37.5114077,127.02828479999998,145.77426276732936
212,37.5524109,126.84730259999999,1106.2223195520119
